Order_Creation_Date,Order_ID,Customer_ID,Is_New_Customer (Y/N),Product_ID,Quantity,Unit_Price,Item_Subtotal,Shipping_Method,Shipping_Fees,Shipping_Cost,Is_Shipping_Discount_Used,Shipping_Discount_Amount,Is_Product_Order_Discount_Used  (Y/N),Product_Order_Discount_Amount,COGS,Net_Profit,Net_Profit_Including_Shipping,Used a discount,Price - discount
01/01/2025,ORD_0101_1,CUSTAAA,N,Prod_1,1,$5.0,$5.0,standard,$1,$1,N,,N,,$1.0,$4.00,$4.00,FALSE,$5.0
01/01/2025,ORD_0101_1,CUSTAAA,N,Prod_2,1,$11.0,$11.0,standard,$1,$1,N,,N,,$2.5,$8.50,$8.50,FALSE,$11.0
01/02/2025,ORD_0102_1,CUSTAAB,N,Prod_8,2,$6.0,$12.0,standard,$1,$1,N,,N,,$4.0,$8.00,$8.00,FALSE,$6.0
01/03/2025,ORD_0103_1,CUSTAAC,N,Prod_4,1,$19.0,$19.0,standard,$1,$1,N,,N,,$4.0,$15.00,$15.00,FALSE,$19.0
01/05/2025,ORD_0105_1,CUSTAAD,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,Y,$1,Y,$1.50,$1.0,$2.00,$1.00,TRUE,$3.0
01/05/2025,ORD_0105_1,CUSTAAD,Y,Prod_8,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/05/2025,ORD_0105_2,CUSTAAE,Y,Prod_1,3,$4.5,$13.5,standard,$1,$1,Y,$1,Y,$3,$3.0,$7.50,$6.50,TRUE,$3.5
01/05/2025,ORD_0105_3,CUSTAAF,Y,Prod_1,2,$4.5,$9.0,standard,$1,$1,N,,N,,$2.0,$7.00,$7.00,FALSE,$4.5
01/06/2025,ORD_0106_1,CUSTAAD,N,Prod_2,1,$11.0,$11.0,standard,$1,$1,N,,N,,$2.5,$8.50,$8.50,FALSE,$11.0
01/07/2025,ORD_0107_1,CUSTAAG,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,Y,$1,N,,$1.0,$3.50,$2.50,TRUE,$4.5
